Time (UTC),ECI X (km),ECI Y (km),ECI Z (km),ECEF X (km),ECEF Y (km),ECEF Z (km),Latitude (deg),Longitude (deg),Altitude (m),B N,B E,B D,Bx ECEF (nT),By ECEF (nT),Bz ECEF (nT),Bx ECI (nT),By ECI (nT),Bz ECI (nT)
2025-01-15 00:00:00,3909.7895251664227,3265.376157969861,5994.817066103411,1332.966099846968,-4916.537090351078,5994.817066103411,49.79776195896597,-74.83068971755803,1501127.691044854,3411.4874902557603,-7093.162679057483,-25562.81785659976,-3210.1083322212035,-15266.82680682416,21726.20685263031,15211.518309748826,3462.7311426584824,21726.20685263031
2025-01-15 00:04:48,2631.144989734951,4818.477560847441,5636.105516046457,3185.0605535785035,-4471.693105685567,5636.105516046457,45.9077458184686,-54.538804023718235,1500914.0117003238,6230.399321889687,-6073.0137274733515,-21071.528234065718,963.5392308400033,-11820.74897702608,19469.21054732526,10212.369316501095,6030.425123539619,19469.21054732526
2025-01-15 00:09:36,1175.2067095444345,6046.89368863034,4896.807598886081,4847.317645427759,-3801.2558103974516,4896.807598886081,38.63412062502474,-38.10346413514187,1499391.3368533943,7948.319338427451,-4313.423433172838,-16966.951295296505,3862.6006982106464,-8510.598375249818,16802.049560033025,5815.991341586783,7316.024437712724,16802.049560033025
2025-01-15 00:14:24,-359.9315201124013,6867.759124172297,3826.7778042322752,6217.110230243602,-2939.9330726774365,3826.7778042322752,29.22610702925258,-25.30842495920221,1497123.6774120117,9409.6839232323,-2482.3972608039167,-13784.262901025373,5660.342292748546,-5422.60473505228,14942.096052310677,2089.8600058023335,7554.905832625391,14942.096052310677
2025-01-15 00:19:12,-1870.792020100073,7225.554140404331,2498.1811487279424,7209.627590338826,-1931.2600619827047,2498.1811487279424,18.599682827118023,-14.995893412716008,1494819.0325405225,11051.47812800423,-1338.7962459714686,-11263.733111539701,6560.587870775391,-3143.39750071959,14066.874804031053,-496.2054488512417,7257.826204189907,14066.874804031053
2025-01-15 00:24:00,-3255.4435449565713,7095.9232969422455,1000.7107365421394,7763.272692183124,-825.6132371097915,1000.7107365421394,7.343769875279572,-6.070509087822628,1493135.0670443121,12933.552961755335,-1128.4568411096461,-8301.363181369972,6423.836660075917,-1817.9864179430779,13888.559524825514,-1718.140146675609,6451.259294706912,13888.559524825514
2025-01-15 00:28:48,-4420.396949085136,6487.426163041094,-564.4300026627484,7843.651859743099,322.0759406411562,-564.4300026627484,-4.134815989774391,2.3513576887083176,1492499.9721749695,14587.791025267365,-1448.7325090300685,-4108.958999962598,5205.19670973889,-1236.217612852162,14253.55079162953,-1702.7356185708002,5071.784516977507,14253.55079162953
2025-01-15 00:33:36,-5286.977156663871,5441.035943196574,-2091.389280469599,7445.835979363232,1454.828566760571,-2091.389280469599,-15.49184430406468,11.055635455468025,1492997.94566496,15570.721902062684,-1967.868743363799,1436.4342696931699,3100.580130918147,-1399.2633385869976,15388.687283672825,-522.3127755208616,3361.357523900979,15388.687283672825
2025-01-15 00:38:24,-5796.692650235381,4027.3801846729657,-3476.8833572522058,6594.694017943868,2516.236801830204,-3476.8833572522058,-26.347946662501286,20.88459105836619,1494351.9015525086,15500.675064652907,-2458.4654272673356,8361.95810552599,302.9833587861549,-2515.7389690901537,17601.607358400335,1906.783155289032,1668.8078004989468,17601.607358400335
2025-01-15 00:43:12,-5915.19776774983,2341.918413716082,-4627.230986559962,5343.265164360732,3453.0658654917224,-4627.230986559962,-36.17792039465197,32.8724197061212,1496008.1703784913,13932.114128966285,-2616.344995708031,16249.163009501392,-2688.687391981817,-4852.691410844209,20837.627262425383,5511.669808844067,631.7829840696468,20837.627262425383
