X,Y,Z,Bx,By,Bz,B_norm
-0.6,-0.6,0.0,1.1408822984079729e-05,2.7582878425911154e-05,8.519996440118254e-08,2.984934979483799e-05
-0.6,-0.59,0.0,1.2465313470535458e-05,2.795438615773719e-05,8.53168588098746e-08,3.060782619430852e-05
-0.6,-0.58,0.0,1.3558555372903385e-05,2.8275348428503998e-05,8.536646349139794e-08,3.135820530557321e-05
-0.6,-0.57,0.0,1.4684225845981765e-05,2.8541577581050075e-05,8.534728735677536e-08,3.2097592178703346e-05
-0.6,-0.5599999999999999,0.0,1.583739872863452e-05,2.8749371376664486e-05,8.525804213540558e-08,3.282311414197133e-05
-0.6,-0.5499999999999999,0.0,1.7012616056055652e-05,2.889561747132717e-05,8.509765236618555e-08,3.3531970650864956e-05
-0.6,-0.5399999999999999,0.0,1.8203980792027216e-05,2.8977884907844006e-05,8.48652635916782e-08,3.4221483493877255e-05
-0.6,-0.5299999999999999,0.0,1.9405267878055805e-05,2.8994497707340917e-05,8.456024862141063e-08,3.48891454345868e-05
-0.6,-0.5199999999999999,0.0,2.0610049419213893e-05,2.8944586425596738e-05,8.418221176080112e-08,3.5532665352546446e-05
-0.6,-0.5099999999999999,0.0,2.1811828798228572e-05,2.882811468629315e-05,8.373099093536678e-08,3.6150008060416075e-05
-0.6,-0.4999999999999999,0.0,2.3004177841958203e-05,2.8645879123692152e-05,8.320665767472449e-08,3.6739427217929024e-05
-0.6,-0.4899999999999999,0.0,2.4180870933091673e-05,2.839948273456713e-05,8.260951495690894e-08,3.729949011723586e-05
-0.6,-0.47999999999999987,0.0,2.5336010191187476e-05,2.8091283206531217e-05,8.194009294939472e-08,3.78290935494935e-05
-0.6,-0.46999999999999986,0.0,2.64641365145475e-05,2.7724319210335388e-05,8.119914271818556e-08,3.8327470441420426e-05
-0.6,-0.45999999999999985,0.0,2.7560322302680743e-05,2.7302218790305487e-05,8.038762800949727e-08,3.879418743152238e-05
-0.6,-0.44999999999999984,0.0,2.862024295614464e-05,2.6829094769099222e-05,7.950671523888055e-08,3.922913399905512e-05
-0.6,-0.43999999999999984,0.0,2.964022564434148e-05,2.6309432455623305e-05,7.855776184970937e-08,3.9632504131160194e-05
-0.6,-0.4299999999999998,0.0,3.061727520916708e-05,2.5747974911477986e-05,7.754230322577087e-08,4.000477179143466e-05
-0.6,-0.4199999999999998,0.0,3.1549078315863084e-05,2.5149610637507236e-05,7.646203836111542e-08,4.03466616245011e-05
-0.6,-0.4099999999999998,0.0,3.243398798306109e-05,2.451926786536204e-05,7.531881450392586e-08,4.065911639549666e-05
-0.6,-0.3999999999999998,0.0,3.3270991368032233e-05,2.3861818774531398e-05,7.411461099964111e-08,4.094326263032562e-05
-0.6,-0.3899999999999998,0.0,3.405966413265359e-05,2.3181996001690663e-05,7.285152256223179e-08,4.1200375808916e-05
-0.6,-0.3799999999999998,0.0,3.4800114884152165e-05,2.24843228565619e-05,7.153174220140735e-08,4.143184629072718e-05
-0.6,-0.3699999999999998,0.0,3.549292310973966e-05,2.1773057779863013e-05,7.01575440277104e-08,4.1639146941791795e-05
-0.6,-0.35999999999999976,0.0,3.613907375797965e-05,2.1052152825950396e-05,6.873126614781362e-08,4.182380320677223e-05
-0.6,-0.34999999999999976,0.0,3.6739891220195504e-05,2.032522535484033e-05,6.725529384901929e-08,4.198736614591815e-05
-0.6,-0.33999999999999975,0.0,3.729697498896409e-05,1.959554168483365e-05,6.573204325564044e-08,4.213138874937517e-05
-0.6,-0.32999999999999974,0.0,3.7812138767429307e-05,1.8866011181352927e-05,6.416394562127217e-08,4.225740565953123e-05
-0.6,-0.31999999999999973,0.0,3.828735431256055e-05,1.813918912197528e-05,6.255343240071196e-08,4.236691628134198e-05
-0.6,-0.3099999999999997,0.0,3.8724700846271186e-05,1.741728665761549e-05,6.090292122368084e-08,4.246137114263458e-05
-0.6,-0.2999999999999997,0.0,3.912632047855093e-05,1.670218625848158e-05,5.921480287066884e-08,4.2542161280266e-05
-0.6,-0.2899999999999997,0.0,3.9494379765283455e-05,1.5995461164492294e-05,5.749142932937546e-08,4.2610610370817955e-05
-0.6,-0.2799999999999997,0.0,3.983103727170785e-05,1.529839752972168e-05,5.573510298875617e-08,4.266796929219012e-05
-0.6,-0.2699999999999997,0.0,4.013841682677903e-05,1.4612018139380179e-05,5.394806700770452e-08,4.2715412790464374e-05
-0.6,-0.2599999999999997,0.0,4.041858602682862e-05,1.3937106770431128e-05,5.213249687608436e-08,4.2754037930185886e-05
-0.6,-0.24999999999999967,0.0,4.0673539469983396e-05,1.3274232451926347e-05,5.0290493168878184e-08,4.2784864021494504e-05
-0.6,-0.23999999999999966,0.0,4.0905186166272016e-05,1.2623773051034569e-05,4.8424075478539216e-08,4.2808833740625124e-05
-0.6,-0.22999999999999965,0.0,4.111534056305445e-05,1.198593776114675e-05,4.653517749722714e-08,4.282681518806621e-05
-0.6,-0.21999999999999964,0.0,4.1305716643031896e-05,1.136078819744935e-05,4.462564320912981e-08,4.283960465865411e-05
-0.6,-0.20999999999999963,0.0,4.147792458547811e-05,1.0748257912820986e-05,4.269722414366045e-08,4.284792992820164e-05
-0.6,-0.19999999999999962,0.0,4.163346952459031e-05,1.0148170233936487e-05,4.075157763279732e-08,4.2852453890565286e-05
-0.6,-0.1899999999999996,0.0,4.1773751987334233e-05,9.560254385918551e-06,3.879026601040241e-08,4.2853778406431364e-05
-0.6,-0.1799999999999996,0.0,4.190006964332602e-05,8.984159926032397e-06,3.6814756687345086e-08,4.285244824999392e-05
-0.6,-0.1699999999999996,0.0,4.201362004860538e-05,8.419469545178787e-06,3.482642303427559e-08,4.2848955061827475e-05
-0.6,-0.1599999999999996,0.0,4.211550411186937e-05,7.865710322665565e-06,3.282654600292492e-08,4.284374123555383e-05
-0.6,-0.14999999999999958,0.0,4.220673005474863e-05,7.322363537119663e-06,3.081631641743087e-08,4.2837203682424446e-05
-0.6,-0.13999999999999957,0.0,4.2288217676433565e-05,6.78887314640638e-06,2.8796837868607635e-08,4.282969743186726e-05
-0.6,-0.12999999999999956,0.0,4.236080276714649e-05,6.264653053750904e-06,2.676913014665347e-08,4.282153903758347e-05
-0.6,-0.11999999999999955,0.0,4.242524154465529e-05,5.749093277351756e-06,2.473413315075043e-08,4.281300976819288e-05
-0.6,-0.10999999999999954,0.0,4.2482215013422666e-05,5.2415651378273115e-06,2.2692711217752627e-08,4.280435856895771e-05
-0.6,-0.09999999999999953,0.0,4.2532333167417136e-05,4.741425572810244e-06,2.0645657816286976e-08,4.279580478703324e-05
-0.6,-0.08999999999999952,0.0,4.2576138975435435e-05,4.24802068166831e-06,1.8593700556561042e-08,4.278754065721906e-05
-0.6,-0.07999999999999952,0.0,4.261411210241887e-05,3.760688596282148e-06,1.6537506470950647e-08,4.277973354854901e-05
-0.6,-0.06999999999999951,0.0,4.264667233207684e-05,3.2787617665080337e-06,1.4477687524338033e-08,4.2772527974442645e-05
-0.6,-0.0599999999999995,0.0,4.267418266555222e-05,2.8015687417412284e-06,1.2414806317769257e-08,4.27660473707243e-05
-0.6,-0.04999999999999949,0.0,4.269695207822879e-05,2.3284355231229212e-06,1.0349381952754373e-08,4.27603956467385e-05
-0.6,-0.03999999999999948,0.0,4.271523792241842e-05,1.8586865545824965e-06,8.281896027418868e-09,4.2755658515181356e-05
-0.6,-0.02999999999999947,0.0,4.272924796787388e-05,1.3916454152000087e-06,6.212798739028159e-09,4.2751904606234434e-05
-0.6,-0.019999999999999463,0.0,4.273914207510568e-05,9.266352703971661e-07,4.142515070391932e-09,4.2749186371214644e-05
-0.6,-0.009999999999999454,0.0,4.274503349857865e-05,4.629791352702337e-07,2.071451040295085e-09,4.2747540780321106e-05
-0.6,0.0,-0.6,1.1408822984079726e-05,-8.519996440118236e-08,2.7582878425911147e-05,2.9849349794837984e-05
-0.6,0.0,-0.59,1.2465313470535452e-05,-8.531685880987418e-08,2.795438615773717e-05,3.060782619430849e-05
-0.6,0.0,-0.58,1.3558555372903393e-05,-8.536646349139818e-08,2.8275348428504015e-05,3.135820530557323e-05
-0.6,0.0,-0.57,1.4684225845981775e-05,-8.534728735677586e-08,2.8541577581050075e-05,3.209759217870335e-05
-0.6,0.0,-0.5599999999999999,1.5837398728634505e-05,-8.5258042135406e-08,2.8749371376664473e-05,3.2823114141971313e-05
-0.6,0.0,-0.5499999999999999,1.7012616056055652e-05,-8.509765236618483e-08,2.8895617471327172e-05,3.3531970650864956e-05
-0.6,0.0,-0.5399999999999999,1.8203980792027193e-05,-8.486526359167789e-08,2.897788490784401e-05,3.422148349387725e-05
-0.6,0.0,-0.5299999999999999,1.9405267878055802e-05,-8.456024862140924e-08,2.8994497707340924e-05,3.488914543458681e-05
-0.6,0.0,-0.5199999999999999,2.0610049419213883e-05,-8.418221176080208e-08,2.8944586425596708e-05,3.553266535254642e-05
-0.6,0.0,-0.5099999999999999,2.1811828798228566e-05,-8.37309909353669e-08,2.882811468629313e-05,3.6150008060416054e-05
