X,Y,Z,Bx,By,Bz,B_norm
-0.8,-0.8,0.0,1.8439452917367943e-06,5.909458450338721e-06,4.641373248374229e-08,6.190637095627645e-06
-0.8,-0.79,0.0,1.972644734301489e-06,6.028144374945146e-06,4.7345908722995265e-08,6.342877382389085e-06
-0.8,-0.78,0.0,2.1072988230292576e-06,6.147031331619948e-06,4.827966389688989e-08,6.498386988122806e-06
-0.8,-0.77,0.0,2.2480528787748074e-06,6.2658804078201365e-06,4.9213121552112904e-08,6.657133088815699e-06
-0.8,-0.76,0.0,2.3950408216965225e-06,6.384434592839597e-06,5.014426308979652e-08,6.819071788371236e-06
-0.8,-0.75,0.0,2.548383286384058e-06,6.502418852007503e-06,5.107092834826736e-08,6.984147517126664e-06
-0.8,-0.74,0.0,2.708185672597299e-06,6.619540387803741e-06,5.199081765389808e-08,7.15229247361617e-06
-0.8,-0.73,0.0,2.8745361515355448e-06,6.73548910579563e-06,5.290149548062844e-08,7.323426120949162e-06
-0.8,-0.72,0.0,3.0475036510303397e-06,6.849938301687048e-06,5.3800395846156125e-08,7.4974547496170795e-06
-0.8,-0.71,0.0,3.227135846453169e-06,6.96254558351543e-06,5.4684829555001495e-08,7.674271118782337e-06
-0.8,-0.7,0.0,3.413457187330505e-06,7.072954040104086e-06,5.5551993375700565e-08,7.853754188102082e-06
-0.8,-0.69,0.0,3.6064669925305635e-06,7.180793663266796e-06,5.639898121099519e-08,8.035768951861836e-06
-0.8,-0.6799999999999999,0.0,3.80613764928667e-06,7.285683026985159e-06,5.7222797286346675e-08,8.220166386609601e-06
-0.8,-0.6699999999999999,0.0,4.012412953105022e-06,7.387231221881976e-06,5.8020371343556744e-08,8.406783522565792e-06
-0.8,-0.6599999999999999,0.0,4.225206626625972e-06,7.485040037872723e-06,5.878857578362412e-08,8.595443647822047e-06
-0.8,-0.6499999999999999,0.0,4.444401055633096e-06,7.578706382004128e-06,5.9524244656800666e-08,8.785956652729664e-06
-0.8,-0.6399999999999999,0.0,4.6698462795172496e-06,7.667824912326535e-06,6.022419434939909e-08,8.978119519921838e-06
