X,Y,Z,Bx,By,Bz,B_norm
-0.8,-0.8,0.0,2.0333622264200897e-06,5.580913173057152e-06,3.0325049212016325e-08,5.939871496728244e-06
-0.8,-0.79,0.0,2.1561755097762318e-06,5.680273268202823e-06,3.0793013370959235e-08,6.075816442264434e-06
-0.8,-0.78,0.0,2.2839385904072084e-06,5.77934539156419e-06,3.1255933591985795e-08,6.21435319024677e-06
-0.8,-0.77,0.0,2.4167426457542105e-06,5.877931200924589e-06,3.1712766793832964e-08,6.355448522188466e-06
-0.8,-0.76,0.0,2.554669248442499e-06,5.975820257598234e-06,3.21624246968311e-08,6.499061250797808e-06
-0.8,-0.75,0.0,2.697789132738515e-06,6.072790228052538e-06,3.260377613180795e-08,6.645141861907124e-06
-0.8,-0.74,0.0,2.8461609358012858e-06,6.168607205779869e-06,3.30356498680213e-08,6.7936321865289985e-06
-0.8,-0.73,0.0,2.9998299262544123e-06,6.263026162180178e-06,3.34568379776349e-08,6.944465109323567e-06
-0.8,-0.72,0.0,3.158826734328183e-06,6.355791534119354e-06,3.386609974813805e-08,7.097564319920028e-06
-0.8,-0.71,0.0,3.323166099470265e-06,6.4466379544193165e-06,3.426216614722144e-08,7.2528441135913845e-06
-0.8,-0.7,0.0,3.49284565284258e-06,6.535291129807229e-06,3.464374483676278e-08,7.410209247718629e-06
-0.8,-0.69,0.0,3.6678447534507624e-06,6.621468868804656e-06,3.500952572399554e-08,7.569554860284514e-06
-0.8,-0.6799999999999999,0.0,3.848123397727613e-06,6.704882259687263e-06,3.5358187028620987e-08,7.730766456296402e-06
-0.8,-0.6699999999999999,0.0,4.033621223148938e-06,6.78523699601564e-06,3.5688401834863917e-08,7.89371996754144e-06
-0.8,-0.6599999999999999,0.0,4.224256626836185e-06,6.8622348443689175e-06,3.5998845087246786e-08,8.058281890421056e-06
-0.8,-0.6499999999999999,0.0,4.419926020037219e-06,6.935575245856365e-06,3.628820097861443e-08,8.224309505792441e-06
-0.8,-0.6399999999999999,0.0,4.6205032388233865e-06,7.004957039805899e-06,3.6555170668748334e-08,8.391651183766294e-06
-0.8,-0.6299999999999999,0.0,4.8258391302584025e-06,7.070080294811607e-06,3.679848026207356e-08,8.560146775281727e-06
-0.8,-0.6199999999999999,0.0,5.035761331656001e-06,7.130648229154862e-06,3.701688896384461e-08,8.729628091013944e-06
-0.8,-0.6099999999999999,0.0,5.250074258340727e-06,7.18636919959635e-06,3.720919732593336e-08,8.89991946679096e-06
-0.8,-0.5999999999999999,0.0,5.468559312569939e-06,7.236958734772971e-06,3.737425548638766e-08,9.070838413227046e-06
-0.8,-0.5899999999999999,0.0,5.6909753229973325e-06,7.28214158703039e-06,3.751097130144129e-08,9.242196345755161e-06
-0.8,-0.5799999999999998,0.0,5.917059220313943e-06,7.3216537745843925e-06,3.761831826488777e-08,9.413799389696872e-06
-0.8,-0.5699999999999998,0.0,6.146526950567244e-06,7.3552445845239156e-06,3.76953431080114e-08,9.58544925348363e-06
-0.8,-0.5599999999999998,0.0,6.3790746232319e-06,7.382678506431784e-06,3.774117297355993e-08,9.75694416168446e-06
-0.8,-0.5499999999999998,0.0,6.614379886500636e-06,7.403737066367901e-06,3.775502205993507e-08,9.928079838143169e-06
-0.8,-0.5399999999999998,0.0,6.8521035176136355e-06,7.418220531677345e-06,3.77361976365577e-08,1.0098650528328255e-05
-0.8,-0.5299999999999998,0.0,7.0918912114881e-06,7.425949458569317e-06,3.768410533863856e-08,1.0268450048990026e-05
-0.8,-0.5199999999999998,0.0,7.333375546592624e-06,7.426766056650406e-06,3.7598253658825656e-08,1.0437272852438777e-05
-0.8,-0.5099999999999998,0.0,7.576178103074664e-06,7.420535347548293e-06,3.747825756459036e-08,1.0604915092234908e-05
-0.8,-0.4999999999999998,0.0,7.819911704729175e-06,7.40714609835827e-06,3.732384118329113e-08,1.0771175676837937e-05
-0.8,-0.48999999999999977,0.0,8.064182753610101e-06,7.386511514793174e-06,3.713483951143728e-08,1.0935857297811648e-05
-0.8,-0.47999999999999976,0.0,8.308593624032077e-06,7.358569683493824e-06,3.691119912038965e-08,1.1098767419527332e-05
-0.8,-0.46999999999999975,0.0,8.552745081460756e-06,7.323283757829808e-06,3.6652977847095753e-08,1.1259719217943673e-05
-0.8,-0.45999999999999974,0.0,8.796238691387407e-06,7.280641886535771e-06,3.636034347525314e-08,1.141853245694987e-05
-0.8,-0.44999999999999973,0.0,9.038679183740474e-06,7.230656889533223e-06,3.6033571428836194e-08,1.1575034291914972e-05
-0.8,-0.4399999999999997,0.0,9.279676739681072e-06,7.173365690127561e-06,3.5673041515981754e-08,1.172905999145576e-05
-0.8,-0.4299999999999997,0.0,9.518849169709951e-06,7.108828517298332e-06,3.527923377634668e-08,1.1880453569976934e-05
-0.8,-0.4199999999999997,0.0,9.755823954801234e-06,7.037127895885312e-06,3.4852723498780475e-08,1.2029068325205246e-05
-0.8,-0.4099999999999997,0.0,9.990240125668241e-06,6.9583674460037735e-06,3.43941754882645e-08,1.2174767276684363e-05
-0.8,-0.3999999999999997,0.0,1.0221749959137924e-05,6.872670515910073e-06,3.390433767131764e-08,1.2317423502969632e-05
-0.8,-0.3899999999999997,0.0,1.0450020474827911e-05,6.780178674723016e-06,3.3384034137116946e-08,1.2456920377012394e-05
-0.8,-0.37999999999999967,0.0,1.0674734719742299e-05,6.681050092857143e-06,3.283415771745247e-08,1.2593151700906775e-05
-0.8,-0.36999999999999966,0.0,1.0895592832889255e-05,6.575457838734238e-06,3.225566221224786e-08,1.2726021742745216e-05
-0.8,-0.35999999999999965,0.0,1.1112312886440698e-05,6.463588120334746e-06,3.1649554368642806e-08,1.285544517975866e-05
-0.8,-0.34999999999999964,0.0,1.1324631504177815e-05,6.345638499476631e-06,3.1016885720805476e-08,1.29813469531731e-05
