X,Y,Z,Bx,By,Bz,B_norm
-0.8,-0.8,0.0,2.435001595909936e-06,7.000491118192452e-06,4.579396862876209e-07,7.42602298840049e-06
-0.8,-0.79,0.0,2.593826774161282e-06,7.123665470591792e-06,4.605148593703754e-07,7.59517090044448e-06
-0.8,-0.78,0.0,2.759271518897815e-06,7.2457875431097115e-06,4.6307163259376233e-07,7.76720360051142e-06
-0.8,-0.77,0.0,2.931435606754682e-06,7.366538025518169e-06,4.6560824849046034e-07,7.94203929976531e-06
-0.8,-0.76,0.0,3.110400857382976e-06,7.485580394032074e-06,4.681229090565598e-07,8.11958412648762e-06
-0.8,-0.75,0.0,3.296229071768862e-06,7.602561689737762e-06,4.706137779596609e-07,8.299731782885998e-06
-0.8,-0.74,0.0,3.488959965020306e-06,7.717113538510392e-06,4.730789829446742e-07,8.482363274929862e-06
-0.8,-0.73,0.0,3.688609122365214e-06,7.828853425054222e-06,4.7551661842436613e-07,8.667346725669675e-06
-0.8,-0.72,0.0,3.895166010355327e-06,7.937386230410092e-06,4.779247482385381e-07,8.85453728231521e-06
-0.8,-0.71,0.0,4.108592078185865e-06,8.042306038281709e-06,4.803014085627131e-07,9.043777126918895e-06
-0.8,-0.7,0.0,4.32881898647746e-06,8.143198210852423e-06,4.826446109441115e-07,9.234895599810061e-06
-0.8,-0.69,0.0,4.5557470026729544e-06,8.239641729441964e-06,4.8495234543982e-07,9.427709443935603e-06
-0.8,-0.6799999999999999,0.0,4.789243603226359e-06,8.331211789467402e-06,4.87222583829261e-07,9.622023176972632e-06
-0.8,-0.6699999999999999,0.0,5.0291423228609885e-06,8.417482632836663e-06,4.894532828706151e-07,9.817629596486683e-06
-0.8,-0.6599999999999999,0.0,5.275241890219792e-06,8.498030594265762e-06,4.916423875686096e-07,1.0014310421524827e-05
-0.8,-0.6499999999999999,0.0,5.527305687118898e-06,8.572437331254583e-06,4.937878344192703e-07,1.0211837071877155e-05
-0.8,-0.6399999999999999,0.0,5.785061565274023e-06,8.640293200794e-06,4.958875545958529e-07,1.0409971583846942e-05
-0.8,-0.6299999999999999,0.0,6.048202049768523e-06,8.701200739546249e-06,4.979394770392222e-07,1.0608467658785526e-05
-0.8,-0.6199999999999999,0.0,6.31638495269088e-06,8.754778198493673e-06,4.999415314156529e-07,1.0807071837932518e-05
-0.8,-0.6099999999999999,0.0,6.589234413360641e-06,8.800663078146053e-06,5.018916509051616e-07,1.100552479432524e-05
-0.8,-0.5999999999999999,0.0,6.8663423735168875e-06,8.838515606584896e-06,5.03787774784339e-07,1.1203562729784685e-05
-0.8,-0.5899999999999999,0.0,7.1472704869490225e-06,8.868022100132471e-06,5.056278507691496e-07,1.140091886233403e-05
-0.8,-0.5799999999999998,0.0,7.43155245354847e-06,8.888898145460421e-06,5.074098370852033e-07,1.1597324986952069e-05
-0.8,-0.5699999999999998,0.0,7.71869675793985e-06,8.90089154264113e-06,5.091317042357154e-07,1.1792513090395512e-05
-0.8,-0.5599999999999998,0.0,8.008189783035523e-06,8.903784951083141e-06,5.107914364408179e-07,1.198621699902811e-05
-0.8,-0.5499999999999998,0.0,8.299499259394917e-06,8.897398184493068e-06,5.12387032725667e-07,1.2178174037244776e-05
-0.8,-0.5399999999999998,0.0,8.592078002511216e-06,8.881590106914302e-06,5.139165076393112e-07,1.2368126673239537e-05
-0.8,-0.5299999999999998,0.0,8.885367882433518e-06,8.856260089369653e-06,5.15377891591172e-07,1.2555824128582075e-05
-0.8,-0.5199999999999998,0.0,9.17880396377071e-06,8.821348995471976e-06,5.167692307972616e-07,1.2741023928364084e-05
-0.8,-0.5099999999999998,0.0,9.471818749377274e-06,8.776839674288698e-06,5.180885868339224e-07,1.2923493369558811e-05
-0.8,-0.4999999999999998,0.0,9.763846458088171e-06,8.72275694942299e-06,5.193340358026084e-07,1.3103010886684442e-05
-0.8,-0.48999999999999977,0.0,1.0054327265875624e-05,8.659167104338718e-06,5.20503667115253e-07,1.3279367295834248e-05
-0.8,-0.47999999999999976,0.0,1.0342711440786361e-05,8.586176875021545e-06,5.215955819156923e-07,1.3452366900571878e-05
-0.8,-0.46999999999999975,0.0,1.0628463304941768e-05,8.503931971746358e-06,5.226078911584915e-07,1.362182844600844e-05
-0.8,-0.45999999999999974,0.0,1.0911064961621182e-05,8.412615161645426e-06,5.235387133721662e-07,1.3787585910487134e-05
-0.8,-0.44999999999999973,0.0,1.1190019731801467e-05,8.312443952611453e-06,5.243861721393355e-07,1.394948912759689e-05
-0.8,-0.4399999999999997,0.0,1.146485525223208e-05,8.203667926550653e-06,5.251483933311674e-07,1.4107404234612676e-05
-0.8,-0.4299999999999997,0.0,1.1735126195875292e-05,8.086565775913573e-06,5.25823502138315e-07,1.4261213946810286e-05
-0.8,-0.4199999999999997,0.0,1.2000416584995387e-05,7.961442101638498e-06,5.26409619944338e-07,1.4410817660325326e-05
-0.8,-0.4099999999999997,0.0,1.2260341676987282e-05,7.8286240330871e-06,5.269048610912739e-07,1.4556131389230514e-05
-0.8,-0.3999999999999997,0.0,1.2514549412847344e-05,7.688457731248554e-06,5.273073295896656e-07,1.469708754521223e-05
-0.8,-0.3899999999999997,0.0,1.2762721427682825e-05,7.5413048355240194e-06,5.276151158276784e-07,1.4833634570575821e-05
-0.8,-0.37999999999999967,0.0,1.3004573631543424e-05,7.387538911923491e-06,5.278262933351576e-07,1.496573643725407e-05
-0.8,-0.36999999999999966,0.0,1.3239856376896998e-05,7.2275419567063425e-06,5.279389156593913e-07,1.5093372026007913e-05
-0.8,-0.35999999999999965,0.0,1.3468354236073689e-05,7.061701004604825e-06,5.279510134091655e-07,1.5216534401083601e-05
-0.8,-0.34999999999999964,0.0,1.3689885417838517e-05,6.890404885037375e-06,5.278605915231317e-07,1.5335229996233435e-05
-0.8,-0.33999999999999964,0.0,1.3904300856848306e-05,6.714041163403244e-06,5.276656268169629e-07,1.54494777282389e-05
-0.8,-0.3299999999999996,0.0,1.411148301308628e-05,6.532993297905182e-06,5.273640658618325e-07,1.5559308053928972e-05
-0.8,-0.3199999999999996,0.0,1.4311344420476723e-05,6.347638035609707e-06,5.26953823243932e-07,1.5664761986205237e-05
-0.8,-0.3099999999999996,0.0,1.4503826024833877e-05,6.1583430648377684e-06,5.264327802516171e-07,1.576589008381726e-05
-0.8,-0.2999999999999996,0.0,1.468889535119949e-05,5.965464934665632e-06,5.257987840327928e-07,1.586275142863008e-05
-0.8,-0.2899999999999996,0.0,1.4866544539599043e-05,5.769347246454801e-06,5.250496472610545e-07,1.5955412602942825e-05
-0.8,-0.2799999999999996,0.0,1.503678828644351e-05,5.570319117034491e-06,5.241831483442052e-07,1.6043946678106754e-05
-0.8,-0.2699999999999996,0.0,1.5199661726371541e-05,5.368693908508977e-06,5.231970322038298e-07,1.612843222430166e-05
-0.8,-0.25999999999999956,0.0,1.5355218286417697e-05,5.164768215700503e-06,5.220890116491534e-07,1.6208952349906253e-05
-0.8,-0.24999999999999956,0.0,1.5503527541151337e-05,4.958821098982172e-06,5.208567693627649e-07,1.6285593777481364e-05
-0.8,-0.23999999999999955,0.0,1.5644673093991477e-05,4.751113547695554e-06,5.194979605099982e-07,1.6358445962007857e-05
-0.8,-0.22999999999999954,0.0,1.5778750506386212e-05,4.5418881574533445e-06,5.180102159777499e-07,1.6427600255711585e-05
-0.8,-0.21999999999999953,0.0,1.5905865293054928e-05,4.331369003352274e-06,5.163911462425239e-07,1.6493149122588077e-05
-0.8,-0.20999999999999952,0.0,1.6026130998113397e-05,4.119761690407367e-06,5.146383458614522e-07,1.655518540462384e-05
-0.8,-0.1999999999999995,0.0,1.6139667363705936e-05,3.907253562299014e-06,5.127493985739805e-07,1.661380164071158e-05
-0.8,-0.1899999999999995,0.0,1.624659859980657e-05,3.6940140497303484e-06,5.10721882996137e-07,1.6669089438377046e-05
-0.8,-0.1799999999999995,0.0,1.6347051761159813e-05,3.4801951402532623e-06,5.085533788834776e-07,1.6721138897678425e-05
-0.8,-0.16999999999999948,0.0,1.6441155234934e-05,3.2659319522684766e-06,5.062414739334442e-07,1.6770038086002553e-05
-0.8,-0.15999999999999948,0.0,1.6529037340566962e-05,3.0513433969742156e-06,5.03783771092495e-07,1.681587256196155e-05
-0.8,-0.14999999999999947,0.0,1.661082504149575e-05,2.8365329132691864e-06,5.011778963287685e-07,1.685872494618173e-05
-0.8,-0.13999999999999946,0.0,1.6686642766972503e-05,2.6215892619558787e-06,4.984215068263506e-07,1.6898674536466617e-05
-0.8,-0.12999999999999945,0.0,1.675661134096285e-05,2.406587366992578e-06,4.955122995534107e-07,1.6935796964597258e-05
-0.8,-0.11999999999999944,0.0,1.682084701418399e-05,2.1915891929671516e-06,4.924480201528571e-07,1.6970163891897607e-05
-0.8,-0.10999999999999943,0.0,1.6879460594645973e-05,1.976644649378625e-06,4.892264721013244e-07,1.700184274063044e-05
-0.8,-0.09999999999999942,0.0,1.6932556671587183e-05,1.7617925136876763e-06,4.858455260799178e-07,1.7030896458290428e-05
-0.8,-0.08999999999999941,0.0,1.698023292742221e-05,1.5470613664107866e-06,4.823031294983644e-07,1.70573833119174e-05
-0.8,-0.0799999999999994,0.0,1.702257953222164e-05,1.3324705327705626e-06,4.785973161132182e-07,1.7081356709655816e-05
-0.8,-0.0699999999999994,0.0,1.705967861529709e-05,1.1180310265625786e-06,4.7472621568026e-07,1.710286504692812e-05
-0.8,-0.05999999999999939,0.0,1.709160380864981e-05,9.037464929493927e-07,4.7068806358148643e-07,1.712195157476417e-05
-0.8,-0.04999999999999938,0.0,1.7118419857336724e-05,6.89614147839399e-07,4.66481210367943e-07,1.7138654288029352e-05
