X,Y,Z,Bx,By,Bz,B_norm
-0.8,-0.8,0.0,2.4350015959099357e-06,7.000491118192452e-06,4.579396862876207e-07,7.42602298840049e-06
-0.8,-0.7000000000000001,0.0,4.328818986477458e-06,8.143198210852421e-06,4.826446109441121e-07,9.23489559981006e-06
-0.8,-0.6000000000000001,0.0,6.8663423735168825e-06,8.838515606584896e-06,5.03787774784338e-07,1.1203562729784682e-05
-0.8,-0.5000000000000001,0.0,9.763846458088161e-06,8.722756949422991e-06,5.193340358026084e-07,1.3103010886684435e-05
-0.8,-0.40000000000000013,0.0,1.2514549412847332e-05,7.688457731248558e-06,5.273073295896656e-07,1.4697087545212223e-05
-0.8,-0.30000000000000016,0.0,1.468889535119948e-05,5.965464934665645e-06,5.257987840327932e-07,1.5862751428630072e-05
-0.8,-0.20000000000000018,0.0,1.6139667363705926e-05,3.907253562299026e-06,5.127493985739796e-07,1.6613801640711574e-05
-0.8,-0.1000000000000002,0.0,1.6932556671587176e-05,1.7617925136876955e-06,4.858455260799161e-07,1.7030896458290424e-05
-0.8,-2.220446049250313e-16,0.0,1.717747045648426e-05,-3.791949772444787e-07,4.428679248998748e-07,1.7187361988189525e-05
-0.8,0.0,-0.8,2.423235194519871e-06,-4.438279910923442e-07,7.344813784655949e-06,7.746956926749293e-06
-0.8,0.0,-0.7000000000000001,4.3183503109793695e-06,-4.6405720247478664e-07,8.530885044866145e-06,9.572852142607509e-06
-0.8,0.0,-0.6000000000000001,6.8574244656135355e-06,-4.795005488411559e-07,9.274570821622454e-06,1.1544342987074867e-05
-0.8,0.0,-0.5000000000000001,9.756616982801986e-06,-4.880522741952434e-07,9.212398403411413e-06,1.3427511099031883e-05
-0.8,0.0,-0.40000000000000013,1.2509022501102354e-05,-4.879224118427224e-07,8.236941649090363e-06,1.4985356850725406e-05
-0.8,0.0,-0.30000000000000016,1.4684985662094116e-05,-4.778227664418049e-07,6.577770320121447e-06,1.6097955798060525e-05
-0.8,0.0,-0.20000000000000018,1.613723222458727e-05,-4.568547395186612e-07,4.587576495840213e-06,1.6782873360317774e-05
-0.8,0.0,-0.1000000000000002,1.693142981702428e-05,-4.2425067652607895e-07,2.5128303151506214e-06,1.7122138315002938e-05
-0.8,0.0,-2.220446049250313e-16,1.7177470456484257e-05,-3.7919497724448145e-07,4.4286792489988074e-07,1.718736198818952e-05
-0.8,0.0,0.0,1.717747045648426e-05,-3.7919497724448166e-07,4.4286792489987566e-07,1.7187361988189525e-05
