X,Y,Z,Bx,By,Bz,B_norm
-0.8,-0.8,0.0,1.145227198238183e-06,2.978809456877558e-06,1.8076836072127262e-08,3.1914225492670238e-06
-0.8,-0.79,0.0,1.2073620259560119e-06,3.030299428169158e-06,1.836607517199065e-08,3.2620200794599892e-06
-0.8,-0.78,0.0,1.2718192032533197e-06,3.081894159459689e-06,1.8625979605534776e-08,3.3340579813482427e-06
-0.8,-0.77,0.0,1.3386506438468277e-06,3.133528648037892e-06,1.8852976132797967e-08,3.407542042155132e-06
-0.8,-0.76,0.0,1.407906500745185e-06,3.1851335878742013e-06,1.9043316915557968e-08,3.482476035145695e-06
-0.8,-0.75,0.0,1.4796348614965527e-06,3.236635297244398e-06,1.919308800997623e-08,3.5588615799650894e-06
-0.8,-0.74,0.0,1.5538814286543825e-06,3.287955662648718e-06,1.9298220444991693e-08,3.6366980016455997e-06
-0.8,-0.73,0.0,1.6306891863542648e-06,3.339012100825093e-06,1.9354504078059967e-08,3.7159821889747056e-06
-0.8,-0.72,0.0,1.7100980541022982e-06,3.389717540654362e-06,1.9357604403739657e-08,3.7967084529777337e-06
-0.8,-0.71,0.0,1.7921445290899685e-06,3.439980426733872e-06,1.9303082469177933e-08,3.87886838632765e-06
-0.8,-0.7,0.0,1.8768613185694093e-06,3.4897047463519556e-06,1.9186418023122337e-08,3.962450724550405e-06
-0.8,-0.69,0.0,1.964276964043717e-06,3.538790081528456e-06,1.900303599137567e-08,4.047441209946583e-06
-0.8,-0.6799999999999999,0.0,2.0544154592464303e-06,3.587131687694159e-06,1.874833633174599e-08,4.133822459197477e-06
-0.8,-0.6699999999999999,0.0,2.1472958640994705e-06,3.6346206004643296e-06,1.8417727274838516e-08,4.221573835665597e-06
-0.8,-0.6599999999999999,0.0,2.242931917046286e-06,3.6811437718178584e-06,1.8006661904262197e-08,4.310671327435122e-06
-0.8,-0.6499999999999999,0.0,2.341331648353138e-06,3.7265842368239666e-06,1.7510677970635406e-08,4.4010874321658146e-06
-0.8,-0.6399999999999999,0.0,2.442496997153075e-06,3.7708213118632666e-06,1.6925440769022228e-08,4.492791049854113e-06
-0.8,-0.6299999999999999,0.0,2.5464234351704216e-06,3.813730825070053e-06,1.6246788839393926e-08,4.585747384606159e-06
-0.8,-0.6199999999999999,0.0,2.6530996002052974e-06,3.855185379479372e-06,1.547078217564435e-08,4.679917856529337e-06
