X,Y,Z,Bx,By,Bz,B_norm
-0.8,-0.8,0.0,1.1452271982381834e-06,2.978809456877558e-06,1.8076836072127368e-08,3.191422549267024e-06
-0.8,-0.75,0.0,1.4796348614965529e-06,3.236635297244398e-06,1.9193088009976123e-08,3.55886157996509e-06
-0.8,-0.7,0.0,1.8768613185694088e-06,3.4897047463519548e-06,1.918641802312202e-08,3.962450724550404e-06
-0.8,-0.6499999999999999,0.0,2.341331648353138e-06,3.7265842368239666e-06,1.7510677970635406e-08,4.4010874321658146e-06
-0.8,-0.5999999999999999,0.0,2.874619387792666e-06,3.933205707826142e-06,1.3612355489632789e-08,4.871727523268476e-06
-0.8,-0.5499999999999998,0.0,3.474280827084113e-06,4.093401587303542e-06,7.05216381940952e-09,5.369042144870719e-06
-0.8,-0.4999999999999998,0.0,4.132851979237741e-06,4.189926430727318e-06,-2.3411030670484652e-09,5.88523189500297e-06
-0.8,-0.44999999999999973,0.0,4.8372516023320384e-06,4.2059289715548786e-06,-1.432645480520344e-08,6.410073854904937e-06
-0.8,-0.3999999999999997,0.0,5.568810236978164e-06,4.126718104241084e-06,-2.8179235799853804e-08,6.931251246108034e-06
-0.8,-0.34999999999999964,0.0,6.304050645090093e-06,3.941556478420735e-06,-4.2753557185738676e-08,7.434968048021007e-06
-0.8,-0.2999999999999996,0.0,7.016190221427616e-06,3.645156931972796e-06,-5.6702941152119705e-08,7.906788823884266e-06
-0.8,-0.24999999999999956,0.0,7.677158940686734e-06,3.2385865913037553e-06,-6.881615211921334e-08,8.332583523297635e-06
-0.8,-0.1999999999999995,0.0,8.25978931203242e-06,2.7294128317892354e-06,-7.835634964720931e-08,8.699422601703561e-06
-0.8,-0.14999999999999947,0.0,8.739801542193779e-06,2.131119925475703e-06,-8.526330481802602e-08,8.996281063019363e-06
-0.8,-0.09999999999999942,0.0,9.097303530629484e-06,1.462006713452706e-06,-9.011858860696674e-08,9.214473208957577e-06
-0.8,-0.04999999999999938,0.0,9.317711566740677e-06,7.438617982801959e-07,-9.387239914772869e-08,9.347828156488297e-06
-0.8,0.0,-0.8,1.1285114079409217e-06,-4.654356844229505e-08,2.969661571232026e-06,3.1771991044422143e-06
