n_spires,points,execution_time
1,1,133.4402403831482
1,2,81.23072099685669
1,3,63.7452175617218
1,4,55.58741474151611
1,5,49.0718469619751
1,6,46.08924865722656
1,7,45.19098496437073
1,8,42.67554211616516
1,9,41.374248027801514
1,10,40.19220328330994
1,11,39.513354539871216
1,12,38.28380727767944
1,13,37.498021841049194
1,14,37.01714301109314
1,15,36.68186283111572
1,16,36.19474148750305
1,17,35.770243883132935
1,18,35.68082857131958
1,19,34.86391758918762
1,20,34.92582559585571
1,21,34.62710356712341
1,22,34.521013021469116
1,23,34.474138021469116
1,24,34.43795037269592
1,25,34.28667140007019
1,26,34.153950691223145
1,27,33.81388998031616
1,28,33.47606301307678
1,29,33.46597957611084
1,30,33.06690740585327
1,31,32.6253228187561
1,32,33.475961685180664
1,33,32.89285635948181
1,34,33.28542137145996
1,35,32.82124090194702
1,36,33.14939069747925
1,37,32.73074197769165
1,38,32.72454071044922
1,39,32.786585569381714
1,40,32.680394411087036
1,41,31.293185710906982
1,42,32.695497274398804
1,43,32.648154497146606
1,44,32.0907096862793
1,45,32.221665143966675
1,46,32.516350984573364
1,47,31.687828063964844
1,48,32.18070387840271
1,49,31.843308448791504
2,1,145.4061143398285
2,2,91.23245072364807
2,3,73.00234460830688
2,4,63.82365322113037
2,5,58.38982057571411
2,6,54.02683067321777
2,7,51.16953921318054
2,8,49.38315677642822
2,9,47.943845987319946
2,10,47.31466507911682
2,11,45.40414547920227
2,12,46.402074098587036
2,13,45.73560667037964
2,14,44.36923027038574
2,15,43.65558934211731
2,16,42.630462884902954
2,17,42.309966802597046
2,18,43.530372858047485
2,19,43.39297270774841
2,20,42.378140926361084
2,21,41.699557065963745
2,22,40.85546875
2,23,41.36524963378906
2,24,40.93300938606262
2,25,40.707316637039185
2,26,41.20833730697632
2,27,40.94517374038696
2,28,40.676349401474
2,29,40.33026957511902
2,30,40.223872661590576
2,31,40.408183574676514
2,32,41.13096046447754
2,33,40.38509464263916
2,34,39.57004380226135
2,35,40.06914401054382
2,36,39.678465366363525
2,37,39.59704279899597
2,38,39.286596059799194
2,39,39.16150212287903
2,40,39.510188579559326
2,41,38.66983914375305
2,42,38.5721275806427
2,43,39.63748025894165
2,44,39.71862268447876
2,45,38.91072869300842
2,46,38.90549421310425
2,47,39.120644092559814
2,48,38.79885458946228
2,49,38.568398237228394
3,1,150.3569939136505
3,2,98.54623603820801
3,3,80.1649374961853
3,4,71.40735673904419
3,5,65.70040559768677
3,6,62.901089906692505
3,7,60.99609613418579
3,8,58.67030334472656
3,9,57.266287326812744
3,10,56.13506841659546
3,11,54.81409025192261
3,12,54.43561029434204
3,13,53.730595111846924
3,14,52.95395040512085
3,15,52.701109886169434
3,16,52.71074557304382
3,17,51.95286417007446
3,18,51.84785771369934
3,19,51.384753942489624
3,20,51.318881034851074
3,21,51.123363971710205
3,22,50.60813641548157
3,23,50.43628144264221
3,24,50.38775706291199
3,25,50.26602530479431
3,26,49.85751128196716
3,27,50.08939719200134
3,28,50.14515161514282
3,29,49.59370017051697
3,30,50.06085729598999
3,31,49.53965401649475
3,32,49.391255617141724
3,33,49.48334836959839
3,34,49.386330127716064
3,35,49.068100452423096
3,36,48.67241191864014
3,37,48.53031373023987
3,38,48.46855688095093
3,39,48.64182209968567
3,40,48.576192140579224
3,41,48.08786392211914
3,42,48.36955451965332
3,43,47.87118077278137
3,44,48.43459105491638
3,45,47.82430362701416
3,46,48.26816773414612
3,47,48.91518449783325
3,48,48.81762886047363
3,49,48.626665353775024
4,1,160.2168345451355
4,2,101.8594605922699
4,3,85.54636144638062
4,4,75.81719183921814
4,5,70.57302713394165
4,6,67.1356565952301
4,7,64.3189160823822
4,8,62.300060987472534
4,9,60.375940561294556
4,10,59.90169429779053
4,11,58.09227752685547
4,12,57.268091917037964
4,13,56.823204040527344
4,14,56.04119277000427
4,15,55.88170313835144
4,16,55.11366391181946
4,17,54.88823318481445
4,18,55.20919322967529
4,19,56.036067485809326
4,20,55.42607402801514
4,21,55.408644914627075
4,22,54.96761727333069
4,23,54.784186124801636
4,24,53.235276222229004
4,25,52.281163930892944
4,26,52.354265451431274
4,27,52.13322687149048
4,28,51.624075412750244
4,29,51.70727229118347
4,30,51.74825954437256
4,31,51.45767593383789
4,32,51.069310665130615
4,33,51.59026217460632
4,34,51.1363422870636
4,35,51.22703957557678
4,36,50.84297561645508
4,37,51.37229633331299
4,38,51.18527817726135
4,39,51.36974477767944
4,40,52.48727464675903
4,41,52.27929902076721
4,42,52.662543058395386
4,43,52.20507216453552
4,44,50.974292039871216
4,45,51.471336126327515
4,46,51.75858187675476
4,47,51.63229513168335
4,48,52.40173149108887
4,49,51.9195396900177
