X,Y,Z,Bx,By,Bz,B_norm
-0.7466215064518047,-0.7466215064518047,0.0,2.593095168450903e-06,8.11293946811718e-06,4.484534276076129e-08,8.517390473070036e-06
-0.7466215064518047,-0.6466215064518047,0.0,4.952093855771957e-06,9.570997438403109e-06,4.852543795538232e-08,1.0776343546881847e-05
-0.7466215064518047,-0.5466215064518047,0.0,8.176670949270206e-06,1.0368965485350578e-05,4.9415910288312454e-08,1.3205144262037445e-05
-0.7466215064518047,-0.44662150645180476,0.0,1.176984558419434e-05,9.995238213916656e-06,4.659567358204714e-08,1.544138022281413e-05
-0.7466215064518047,-0.3466215064518048,0.0,1.4954263672114923e-05,8.43377817649999e-06,3.997435569659172e-08,1.716858218533659e-05
-0.7466215064518047,-0.2466215064518048,0.0,1.723187241148071e-05,6.1546333977759265e-06,3.029131691014262e-08,1.8298028763515732e-05
-0.7466215064518047,-0.14662150645180483,0.0,1.857381246461661e-05,3.6497847814868986e-06,1.864565755927642e-08,1.8929019680967808e-05
-0.7466215064518047,-0.04662150645180485,0.0,1.9164678858692704e-05,1.1525046152525627e-06,6.017015332764115e-09,1.919930256153788e-05
-0.7466215064518047,0.0,-0.7466215064518047,2.5930951684509032e-06,-4.484534276076108e-08,8.11293946811718e-06,8.517390473070036e-06
-0.7466215064518047,0.0,-0.6466215064518047,4.952093855771953e-06,-4.852543795538232e-08,9.570997438403107e-06,1.0776343546881842e-05
-0.7466215064518047,0.0,-0.5466215064518047,8.176670949270206e-06,-4.9415910288311184e-08,1.0368965485350576e-05,1.3205144262037444e-05
-0.7466215064518047,0.0,-0.44662150645180476,1.1769845584194338e-05,-4.659567358204714e-08,9.995238213916656e-06,1.544138022281413e-05
-0.7466215064518047,0.0,-0.3466215064518048,1.4954263672114923e-05,-3.9974355696591295e-08,8.433778176499993e-06,1.7168582185336593e-05
-0.7466215064518047,0.0,-0.2466215064518048,1.7231872411480708e-05,-3.029131691014177e-08,6.1546333977759265e-06,1.829802876351573e-05
-0.7466215064518047,0.0,-0.14662150645180483,1.8573812464616614e-05,-1.864565755927642e-08,3.6497847814868978e-06,1.892901968096781e-05
-0.7466215064518047,0.0,-0.04662150645180485,1.9164678858692704e-05,-6.017015332764538e-09,1.1525046152525627e-06,1.919930256153788e-05
-0.7466215064518047,0.0,0.0,1.9227995141684176e-05,0.0,0.0,1.9227995141684176e-05
-0.7466215064518047,0.0,0.05337849354819513,1.9144862899461186e-05,6.885707172390073e-09,-1.3199429231375995e-06,1.919031193525706e-05
